CV Name,Method,Success,Processing Time (ms),Time Per Publication (ms),Total Publications,Verified Publications,Verified With Author Match,Precision,Recall,F1 Score,Verification Accuracy,Publication Count Accuracy,Link Provision Rate,Citation Count Availability,Metadata Richness,Input Tokens,Output Tokens,Total Tokens,API Calls,Ground Truth CV Size,Ground Truth Publications,Error,,,,,Method,Processing Time (ms)
academics-rmit-edu-au-mali-abdollahian-publications...,Grok AI,TRUE,51233.48,2049.34,25,20,9,0.8,0.833,0.816,0.84,1,1,0,0.4,8750,3750,12500,5,8634,25,,,,,,Grok AI,51233.48
academics-rmit-edu-au-muhammad-abdulrahman-publications...,Traditional,TRUE,37611.48,1504.46,25,22,21,0.88,1,0.936,1,1,1,0,0.4,4500,3000,7500,50,7151,25,,,,,,Traditional,37611.48
academics-rmit-edu-au-muhammad-abdulrahman-publications...,Gemini AI,TRUE,16773.54,729.28,23,19,16,0.826,0.864,0.844,0.946,0.92,1,0,0.4,8050,3450,11500,5,7151,25,,,,,,Gemini AI,16773.54
academics-rmit-edu-au-muhammad-abdulrahman-publications...,Claude AI,TRUE,111057,4442.28,25,25,25,0.88,1,0.936,0.88,1,1,0,0.4,8750,3750,12500,5,7151,25,,,,,,Claude AI,111057
academics-rmit-edu-au-muhammad-abdulrahman-publications...,ChatGPT AI,TRUE,136078.44,5443.14,25,24,24,0.88,1,0.936,0.92,1,1,0,0.4,8750,3750,12500,5,7151,25,,,,,,ChatGPT AI,136078.44
academics-rmit-edu-au-muhammad-abdulrahman-publications...,Grok AI,TRUE,37107.32,1613.36,23,23,19,0.957,1,0.978,0.88,0.92,1,0,0.4,8050,3450,11500,5,7151,25,,,,,,Grok AI,37107.32
academics-rmit-edu-au-robab-abdolkhani-publications...,Traditional,TRUE,21359.2,2373.24,9,8,8,0.889,0.889,0.889,0.889,1,1,0,0.4,1620,1080,2700,18,3100,9,,,,,,Traditional,21359.2
academics-rmit-edu-au-robab-abdolkhani-publications...,Gemini AI,TRUE,8122.26,902.47,9,9,7,1,1,1,1,1,1,0,0.4,3150,1350,4500,2,3100,9,,,,,,Gemini AI,8122.26
academics-rmit-edu-au-robab-abdolkhani-publications...,Claude AI,TRUE,75320.69,8368.97,9,9,9,1,1,1,1,1,1,0,0.4,3150,1350,4500,2,3100,9,,,,,,Claude AI,75320.69
academics-rmit-edu-au-robab-abdolkhani-publications...,ChatGPT AI,TRUE,20540.43,2282.27,9,9,7,1,1,1,1,1,1,0,0.4,3150,1350,4500,2,3100,9,,,,,,ChatGPT AI,20540.43
academics-rmit-edu-au-robab-abdolkhani-publications...,Grok AI,TRUE,21332.91,2370.32,9,9,9,1,1,1,1,1,1,0,0.4,3150,1350,4500,2,3100,9,,,,,,Grok AI,21332.91
academics-rmit-edu-au-sol-abdulhak-publications...,Traditional,TRUE,4772.03,2386.01,2,1,,0.5,0.5,0.5,0.5,1,1,0,0.4,360,240,600,4,1485,2,,,,,,Traditional,4772.03
academics-rmit-edu-au-sol-abdulhak-publications...,Gemini AI,TRUE,3738.93,1869.46,2,2,2,1,1,1,1,1,1,0,0.4,700,300,1000,1,1485,2,,,,,,Gemini AI,3738.93
academics-rmit-edu-au-sol-abdulhak-publications...,Claude AI,TRUE,10294.37,5147.18,2,2,2,1,1,1,1,1,1,0,0.4,700,300,1000,1,1485,2,,,,,,Claude AI,10294.37
academics-rmit-edu-au-sol-abdulhak-publications...,ChatGPT AI,TRUE,5790.33,2895.16,2,2,2,1,1,1,1,1,1,0,0.4,700,300,1000,1,1485,2,,,,,,ChatGPT AI,5790.33
academics-rmit-edu-au-sol-abdulhak-publications...,Grok AI,TRUE,27979.51,13989.76,2,2,2,1,1,1,1,1,1,0,0.4,700,300,1000,1,1485,2,,,,,,Grok AI,27979.51
academics-rmit-edu-au-sylvester-abanteriba-publications,Traditional,TRUE,14861.38,4953.79,3,3,,0,0,0,0,1,1,0,0.4,540,360,900,6,11505,3,,,,,,Traditional,14861.38
academics-rmit-edu-au-sylvester-abanteriba-publications,Gemini AI,TRUE,19331.84,773.27,25,25,19,0,0,0,0,0.12,1,0,0.4,8750,3750,12500,5,11505,3,,,,,,Gemini AI,19331.84
academics-rmit-edu-au-sylvester-abanteriba-publications,Claude AI,TRUE,79085.99,3163.44,25,24,24,0,0,0,0.04,0.12,1,0,0.4,8750,3750,12500,5,11505,3,,,,,,Claude AI,79085.99
academics-rmit-edu-au-sylvester-abanteriba-publications,ChatGPT AI,TRUE,116424.57,4656.98,25,24,22,0,0,0,0.04,0.12,1,0,0.4,8750,3750,12500,5,11505,3,,,,,,ChatGPT AI,116424.57
academics-rmit-edu-au-sylvester-abanteriba-publications,Grok AI,TRUE,57409.46,2296.38,25,23,18,0,0,0,0.08,0.12,1,0,0.4,8750,3750,12500,5,11505,3,,,,,,Grok AI,57409.46
academics-rmit-edu-au-tor-helge-aas-publications...,Traditional,TRUE,5416.16,2708.08,2,2,2,1,1,1,1,1,1,0,0.4,360,240,600,4,1001,2,,,,,,Traditional,5416.16
academics-rmit-edu-au-tor-helge-aas-publications...,Gemini AI,TRUE,4391.7,2195.85,2,2,2,1,1,1,1,1,1,0,0.4,700,300,1000,1,1001,2,,,,,,Gemini AI,4391.7
academics-rmit-edu-au-tor-helge-aas-publications...,Claude AI,TRUE,11682.97,5841.49,2,2,2,1,1,1,1,1,1,0,0.4,700,300,1000,1,1001,2,,,,,,Claude AI,11682.97
academics-rmit-edu-au-tor-helge-aas-publications...,ChatGPT AI,TRUE,6413.84,3206.92,2,2,2,1,1,1,1,1,1,0,0.4,700,300,1000,1,1001,2,,,,,,ChatGPT AI,6413.84
academics-rmit-edu-au-tor-helge-aas-publications...,Grok AI,TRUE,11380.65,5690.32,2,2,2,1,1,1,1,1,1,0,0.4,700,300,1000,1,1001,2,,,,,,Grok AI,11380.65
academics-rmit-edu-au-trevor-abbott-publications,Traditional,TRUE,10778.58,,,,,1,1,1,1,1,0,0,0,,,,,7839,,,,,,,Traditional,10778.58
academics-rmit-edu-au-trevor-abbott-publications,Gemini AI,TRUE,18336.22,733.45,25,25,17,0,1,0,0,0,1,0,0.4,8750,3750,12500,5,7839,,,,,,,Gemini AI,18336.22
academics-rmit-edu-au-trevor-abbott-publications,Claude AI,TRUE,120942.72,4837.71,25,25,25,0,1,0,0,0,1,0,0.4,8750,3750,12500,5,7839,,,,,,,Claude AI,120942.72
academics-rmit-edu-au-trevor-abbott-publications,ChatGPT AI,TRUE,178642.01,7145.68,25,25,19,0,1,0,0,0,1,0,0.4,8750,3750,12500,5,7839,,,,,,,ChatGPT AI,178642.01
academics-rmit-edu-au-trevor-abbott-publications,Grok AI,TRUE,54118.58,2164.74,25,25,17,0,1,0,0,0,1,0,0.4,8750,3750,12500,5,7839,,,,,,,Grok AI,54118.58
academic_cv_example_template_iconic,Traditional,TRUE,6188.69,,,,,1,1,1,1,1,0,0,0,,,,,2112,,,,,,,Traditional,6188.69
academic_cv_example_template_iconic,Gemini AI,TRUE,5091.52,1018.3,5,,,0,1,0,0,0,1,0,0.4,1750,750,2500,1,2112,,,,,,,Gemini AI,5091.52
academic_cv_example_template_iconic,Claude AI,TRUE,9385.56,3128.52,3,,,0,1,0,0,0,1,0,0.4,1050,450,1500,1,2112,,,,,,,Claude AI,9385.56
academic_cv_example_template_iconic,ChatGPT AI,TRUE,8436.47,2109.12,4,,,0,1,0,0,0,1,0,0.4,1400,600,2000,1,2112,,,,,,,ChatGPT AI,8436.47
academic_cv_example_template_iconic,Grok AI,TRUE,12684.64,,,,,1,1,1,1,1,0,0,0,,,,,2112,,,,,,,Grok AI,12684.64
ADV_Sample_CV_MaryAskov_TenureTrack,Traditional,TRUE,17928.79,1494.07,12,2,,0,0,0,0.833,1,1,0,0.4,2160,1440,3600,24,11058,12,,,,,,Traditional,17928.79
ADV_Sample_CV_MaryAskov_TenureTrack,Gemini AI,TRUE,21602.05,1350.13,16,7,7,0,0,0,0.563,0.75,1,0,0.4,5600,2400,8000,4,11058,12,,,,,,Gemini AI,21602.05
ADV_Sample_CV_MaryAskov_TenureTrack,Claude AI,TRUE,53687.56,4473.96,12,,,0,0,0,1,1,1,0,0.4,4200,1800,6000,3,11058,12,,,,,,Claude AI,53687.56
